1,Todd Gurley,LA,8,1,5,1.9285714285714,1.091479056424,1,
2,David Johnson,ARI,9,1,7,2.2053571428571,1.3831795207907,2,
3,Adrian Peterson,MIN,6,1,12,3.4464285714286,1.7466257557394,3,
4,Ezekiel Elliott,DAL,7,1,10,4.0267857142857,1.7497949952809,4,
5,Lamar Miller,HOU,9,1,16,4.7232142857143,1.890813418255,5,
6,Le'Veon Bell,PIT,8,1,19,7.0720720720721,2.331576088801,6,
7,Devonta Freeman,ATL,11,3,42,8.8928571428571,4.281098705058,7,
8,Mark Ingram,NO,5,5,27,9.0267857142857,2.7172064877257,10,
9,LeSean McCoy,BUF,10,5,16,9.5,2.2990681342044,12,
10,Eddie Lacy,GB,4,4,17,9.8125,2.6204254357424,9,
11,Doug Martin,TB,6,5,18,10.071428571429,2.5833059028607,11,
12,C.J. Anderson,DEN,11,6,31,12.598214285714,3.1323764980459,13,
13,Jamaal Charles,KC,5,3,47,12.651785714286,5.9906323024079,8,
14,Latavius Murray,OAK,10,8,29,15.678571428571,3.1993701548516,15,
15,Carlos Hyde,SF,8,9,28,16.098214285714,3.3619717360623,16,
16,Jeremy Hill,CIN,9,11,34,17.875,4.1233763038143,20,
17,Thomas Rawls,SEA,5,8,44,18,5.0196044237996,14,
18,Matt Forte,NYJ,11,11,28,18.107142857143,3.4235454232865,17,
19,DeMarco Murray,TEN,13,10,41,19.419642857143,5.4619436507417,18,
20,Jonathan Stewart,CAR,7,9,36,20.517857142857,4.5078941529141,19,
21,Ryan Mathews,PHI,4,13,55,21.794642857143,5.2357602682643,21,
22,Jeremy Langford,CHI,9,9,33,22.160714285714,4.2311632380397,22,
23,Melvin Gordon,SD,11,9,41,23.821428571429,5.3505912318745,23,
24,Frank Gore,IND,10,15,43,24.196428571429,4.916879247105,26,
25,Giovani Bernard,CIN,9,16,39,25.4375,4.1977486525517,27,
26,Matt Jones,WAS,9,14,46,27.580357142857,5.892850378784,24,
27,Arian Foster,MIA,8,8,48,28.144144144144,6.557915026343,25,
28,Duke Johnson,CLE,13,19,41,29.116071428571,4.6363192291836,28,
29,Rashad Jennings,NYG,8,20,48,29.678571428571,4.8388573874755,33,
30,Danny Woodhead,SD,11,14,49,29.910714285714,5.2245190677991,30,
31,Ameer Abdullah,DET,10,16,43,30.044642857143,4.6452517863043,31,
32,Chris Ivory,JAC,5,17,46,32.053571428571,4.9818228263829,29,
33,T.J. Yeldon,JAC,5,12,45,33.848214285714,5.627118365286,37,
34,Derrick Henry,TEN,13,18,62,35.625,7.292516957226,36,
35,LeGarrette Blount,NE,9,21,53,35.776785714286,6.2331341311525,38,
36,DeAngelo Williams,PIT,8,3,54,36.321428571429,5.8465714704589,32,
37,Charles Sims,TB,6,25,57,36.669642857143,5.0610353134391,40,
38,Isaiah Crowell,CLE,13,20,60,37.276785714286,6.3121337537722,41,
39,Jay Ajayi,MIA,8,20,57,40.207207207207,8.0349653874105,34,
40,Spencer Ware,KC,5,9,95,41.807339449541,11.715650212171,57,
41,Bilal Powell,NYJ,11,28,73,41.732142857143,6.1440769137804,43,
42,Tevin Coleman,ATL,11,18,61,43.518181818182,5.5098784315608,44,
43,Theo Riddick,DET,10,27,65,44.073394495413,6.0056646379444,42,
44,Justin Forsett,FA,,17,78,46.264705882353,12.243386746776,35,
45,Christine Michael,SEA,5,20,76,46.761467889908,9.8165737801475,45,
46,Terrance West,BAL,8,30,83,49.443396226415,11.27786292873,61,
47,James White,NE,9,24,77,49.566037735849,10.639920261374,46,
48,Dion Lewis,NE,9,20,84,56.071428571429,13.984138244775,39,
49,Darren Sproles,PHI,4,35,80,51.633027522936,7.7111387924422,48,
50,Kenneth Dixon,BAL,8,32,152,54.628571428571,13.953157787573,58,
51,Jerick McKinnon,MIN,6,38,72,50.990476190476,7.0542054165552,63,
52,Devontae Booker,DEN,11,27,77,51.660377358491,7.405870685633,50,
53,DeAndre Washington,OAK,10,28,164,52.299065420561,12.922641836086,55,
54,Javorius Allen,BAL,8,34,179,53.735294117647,15.085980032499,56,
55,Shane Vereen,NYG,8,37,70,53.415841584158,6.7387858099754,59,
56,James Starks,GB,4,39,79,53.046296296296,6.5282637066313,51,
57,C.J. Prosise,SEA,5,36,84,57.67,9.3188572260766,53,
58,Jordan Howard,CHI,9,41,145,58.352941176471,12.170075046753,62,
59,Alfred Morris,DAL,7,39,77,57.076923076923,7.6115957940858,47,
60,Chris Johnson,ARI,9,39,78,57.640776699029,7.4074934100571,54,
61,Chris Thompson,WAS,9,41,97,58.432989690722,8.7176881647624,72,
62,Shaun Draughn,SF,8,40,94,62.032258064516,11.113734226152,77,
63,Charcandrick West,KC,5,21,114,66.606382978723,10.275169497081,60,
64,Darren McFadden,DAL,7,35,94,66.619047619048,11.412091292327,52,
65,Karlos Williams,FA,,37,172,71.115384615385,19.743210952077,49,
66,Robert Kelley,WAS,9,46,133,63.587301587302,12.593315083093,98,
67,Wendell Smallwood,PHI,4,42,147,69.369047619048,13.176259099413,78,
68,Mike Gillislee,BUF,10,38,105,70.426666666667,9.7216916680632,75,
69,Ronnie Hillman,FA,,43,100,71.836734693878,11.713147921705,67,
70,Kenjon Barner,PHI,4,42,112,72.907407407407,11.296129324813,86,
71,Zach Zenner,DET,10,43,183,72,15.209646062066,87,
72,Tim Hightower,NO,5,45,128,63.38,10.000779969582,69,
73,Jonathan Williams,BUF,10,42,168,80.884615384615,15.381874755891,71,
74,Ka'Deem Carey,CHI,9,46,101,72.904761904762,9.4044303739034,76,
75,Khiry Robinson,FA,,44,99,75.839285714286,9.5558074819794,93,
76,Lance Dunbar,DAL,7,46,98,75.548387096774,9.6931592429001,79,
77,C.J. Spiller,NO,5,48,94,68.288888888889,9.7436525713974,73,
78,Andre Ellington,ARI,9,45,88,70.488372093023,7.68983652115,70,
79,Paul Perkins,NYG,8,48,162,66.915789473684,12.82157980076,65,
80,Cameron Artis-Payne,CAR,7,49,112,69.136842105263,9.7112095038518,66,
81,Reggie Bush,BUF,10,48,102,69.761904761905,10.164854304836,82,
82,Andre Williams,SD,11,48,102,79.974358974359,10.625289569477,99,
83,Josh Ferguson,IND,10,49,102,75.5,10.137234016906,68,
84,Tyler Gaffney,FA,,50,119,82.875,16.381678027601,84,
85,Kenyan Drake,MIA,8,51,93,74.518518518519,8.729276851402,64,
86,David Cobb,FA,,52,170,82.965517241379,18.887110654369,106,
87,Alfred Blue,HOU,9,52,98,78.719298245614,8.6099786783054,81,
88,Robert Turbin,IND,10,54,104,74.22641509434,9.675180285842,91,
89,Malcolm Brown,LA,8,55,178,89.466666666667,27.121619092934,115,
90,Jacquizz Rodgers,FA,,55,128,84.2,21.212260605603,92,
91,Keith Marshall,WAS,9,56,135,76.567567567568,13.391285065478,88,
92,Benny Cunningham,LA,8,56,97,71.350877192982,8.7489171822638,74,
93,Stepfan Taylor,ARI,9,57,135,104.8,26.536013264995,,
94,Dwayne Washington,DET,10,60,130,96,19.787330834109,,
95,Tyler Ervin,HOU,9,60,96,72.731343283582,8.181854859496,90,
96,Knile Davis,KC,5,61,118,88.4,15.903039541756,95,
97,Jonathan Grimes,HOU,9,62,116,95.307692307692,13.052465817053,,
98,Alex Collins,SEA,5,63,137,87.206896551724,13.707232700281,89,
99,Antonio Andrews,TEN,13,63,118,85.323529411765,11.073871176665,101,
100,Denard Robinson,JAC,5,64,101,83.5,8.8411914732499,94,
101,D.J. Foster,NE,9,65,157,86.4375,22.273775920351,,
102,Mike Tolbert,CAR,7,65,102,81.481481481481,8.2208874458787,83,
103,Tre Mason,LA,8,66,106,82.5,11.308182877899,85,
104,Mike Davis,SF,8,67,176,89.04347826087,22.085758269448,,
105,Bobby Rainey,NYG,8,68,117,95.5,18.006943105369,,
106,Jalen Richard,OAK,10,69,165,94.3,25.416726775885,,
107,Lorenzo Taliaferro,BAL,8,69,115,96.625,15.523671440738,103,
108,Bishop Sankey,NE,9,69,113,94.692307692308,12.79654169258,,
109,Dexter McCluster,FA,,70,127,87.166666666667,14.881942824182,104,
110,Orleans Darkwa,NYG,8,71,120,95.125,12.74203182385,102,
111,Damien Williams,MIA,8,71,109,89.736842105263,11.902419503097,96,
112,Kenneth Farrow,SD,11,72,142,100.6,24.936719912611,,
113,Jordan Todman,IND,10,73,114,92.375,11.112352361224,,
114,Fozzy Whittaker,CAR,7,75,124,95.571428571429,12.821378829987,100,
115,Brandon Bolden,NE,9,75,115,95,10.730463976122,80,
116,Terrell Watson,FA,,75,108,89.545454545455,10.534477044997,,
117,Daniel Lasco,NO,5,76,161,99.076923076923,20.767806218952,,
118,Matt Asiata,MIN,6,76,115,89.8,10.805554127392,,
119,Troymaine Pope,NYJ,11,76,110,97.333333333333,11.869662543177,,
120,Kapri Bibbs,DEN,11,77,107,95,11.045361017187,,
121,Donald Brown,FA,,78,116,92.666666666667,12.957194483718,105,
122,Roy Helu,FA,,79,110,93.8,13.136209498938,111,
123,Joique Bell,FA,,79,98,88.666666666667,7.7602978178819,,
124,Stevan Ridley,FA,,79,96,87.666666666667,5.3851648071345,97,
125,Kyle Juszczyk,BAL,8,82,114,91.166666666667,10.589565094417,,
126,Marcel Reece,OAK,10,83,119,95.909090909091,11.252915141134,116,
127,Daryl Richardson,PIT,8,84,132,113,19.326148090088,108,
128,Rex Burkhead,CIN,9,84,120,100.09090909091,9.9677164837703,,
129,Darius Jackson,DAL,7,85,131,105.5,14.080127840329,113,
130,Fitzgerald Toussaint,PIT,8,86,122,96.2,10.93892133622,,
131,Trent Richardson,FA,,87,123,101.33333333333,11.571036638473,107,
132,Kelvin Taylor,SF,8,91,141,109.16666666667,16.40545302297,,
133,Mike James,TB,6,91,126,106.42857142857,13.31869945235,,
134,Bruce Miller,SF,8,92,126,109,17,,
135,Travaris Cadet,FA,,92,120,103.4,9.5833188405688,,
136,Isaiah Pead,MIA,8,92,115,99.6,8.6162636914152,,
137,Mack Brown,WAS,9,94,136,115,21,,
138,Taiwan Jones,OAK,10,94,127,114.5,12.685293322059,110,
139,Kerwynn Williams,FA,,94,125,109.5,15.5,114,
140,Terron Ward,ATL,11,95,122,108.625,10.185007363768,,
141,Patrick DiMarco,ATL,11,96,124,108,11.775681155104,,
142,Jamize Olawale,OAK,10,99,113,106,7,,
143,Juwan Thompson,DEN,11,100,128,115.5,10.037429949942,,
144,Cedric Peerman,CIN,9,101,134,119,13.638181696986,,
145,George Atkinson,CLE,13,104,108,106,2,,
146,Glenn Winston,CLE,13,110,123,117.33333333333,5.4365021434334,,
147,John Crockett,GB,4,113,182,138.75,26.003605519235,,
148,Tyler Varga,FA,,117,171,139,23.15167380558,,
